data_venda,id_venda,id_linha_venda,id_livro,qtde_item,nome_livro,categoria,autor,preco
2025-02-04,4073,4403,5,2,Dom Casmurro,Ficção,Machado de Assis,86.81
2024-08-25,5136,5466,5,4,Dom Casmurro,Ficção,Machado de Assis,131.48
2024-12-18,,4485,2,5,1984,Ficção,George Orwell,92.92
2025-05-08,2451,2781,9,2,A Revolução dos Bichos,Ficção,George Orwell,139.69
2024-12-29,4615,4945,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,92.76
2025-02-27,2825,3155,8,5,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,42.17
2025-01-02,3661,3991,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,27.56
2024-09-29,8160,8490,2,2,1984,Ficção,George Orwell,26.52
2025-01-28,8906,9236,6,3,Orgulho e Preconceito,Ficção,Jane Austen,81.92
2024-06-25,1687,2017,9,2,A Revolução dos Bichos,Ficção,George Orwell,44.85
2024-12-23,2267,2597,3,4,Sapiens,Não Ficção,Yuval Noah Harari,48.47
2025-04-19,6894,7224,2,3,1984,Ficção,George Orwell,33.35
2024-07-14,5825,6155,6,5,Orgulho e Preconceito,Ficção,Jane Austen,107.09
2025-04-06,7838,8168,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,82.48
2025-06-01,9220,9550,3,1,Sapiens,Não Ficção,Yuval Noah Harari,110.05
2025-03-08,5340,5670,3,4,Sapiens,Não Ficção,Yuval Noah Harari,64.24
2024-09-14,74,221,2,5,1984,Ficção,George Orwell,123.14
2025-05-02,9562,9892,7,5,O Código Da Vinci,Ficção,Dan Brown,134.48
2024-11-10,6253,6583,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,126.21
2024-10-21,8804,9134,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,95.93
2025-06-12,170,499,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,126.68
2025-01-05,2288,2618,9,4,A Revolução dos Bichos,Ficção,George Orwell,143.04
2024-11-18,5269,5599,4,5,O Hobbit,Ficção,J.R.R. Tolkien,129.83
2025-02-21,5820,6150,9,1,A Revolução dos Bichos,Ficção,George Orwell,72.43
2025-05-01,8141,8471,9,2,A Revolução dos Bichos,Ficção,George Orwell,99.09
2024-08-24,668,998,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,85.16
2025-04-07,4368,4698,3,4,Sapiens,Não Ficção,Yuval Noah Harari,53.58
2024-10-05,7123,7453,4,5,O Hobbit,Ficção,J.R.R. Tolkien,143.31
2024-10-26,7979,8309,5,2,Dom Casmurro,Ficção,Machado de Assis,122.0
2025-04-18,7366,7696,9,5,A Revolução dos Bichos,Ficção,George Orwell,98.15
2025-04-04,9172,9502,4,4,O Hobbit,Ficção,J.R.R. Tolkien,89.07
2024-08-01,2031,2361,9,5,A Revolução dos Bichos,Ficção,George Orwell,114.02
2024-10-18,6158,6488,6,5,Orgulho e Preconceito,Ficção,Jane Austen,26.1
2024-08-12,7949,8279,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,61.36
2025-01-05,52,152,4,3,O Hobbit,Ficção,J.R.R. Tolkien,45.11
2024-06-17,295,625,6,1,Orgulho e Preconceito,Ficção,Jane Austen,34.87
2025-03-16,4346,4676,3,5,Sapiens,Não Ficção,Yuval Noah Harari,121.47
2024-06-16,9092,9422,6,1,Orgulho e Preconceito,Ficção,Jane Austen,49.32
2025-06-11,3385,3715,7,5,O Código Da Vinci,Ficção,Dan Brown,64.32
2025-02-17,6932,7262,5,3,Dom Casmurro,Ficção,Machado de Assis,98.81
2024-12-09,3328,3658,2,3,1984,Ficção,George Orwell,53.0
2025-04-13,8114,8444,9,3,A Revolução dos Bichos,Ficção,George Orwell,67.34
2025-03-12,2299,2629,6,4,Orgulho e Preconceito,Ficção,Jane Austen,53.99
2024-10-06,3425,3755,5,1,Dom Casmurro,Ficção,Machado de Assis,124.91
2024-12-20,8656,8986,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,146.62
2024-07-23,3121,3451,2,5,1984,Ficção,George Orwell,83.19
2024-10-17,2707,3037,5,2,Dom Casmurro,Ficção,Machado de Assis,128.87
2025-02-22,2106,2436,9,4,A Revolução dos Bichos,Ficção,George Orwell,60.2
2024-06-23,4799,5129,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,100.97
